# XYZ HTC extracted from TC_NACA0012_3933_L1_cutData_V2.dat
# Source zone: 15-bin distribution
VARIABLES = "X" "Y" "Z" "HTC"
ZONE T="BINS15_XYZ_HTC"
0.399422519	0.914400000	-0.001585980 149.270143300
0.396882873	0.914400000	-0.001142424 150.355947800
0.396882776	0.914400000	-0.001142407 150.355989200
0.394342839	0.914400000	-0.000700386 151.447473100
0.394342742	0.914400000	-0.000700369 151.447514800
0.391802538	0.914400000	-0.000259971 152.538473200
0.391802441	0.914400000	-0.000259954 152.538514900
0.391802344	0.914400000	-0.000259937 152.538555900
0.389261826	0.914400000	0.000178747	153.613047300
0.389261729	0.914400000	0.000178764	153.613088600
0.386720969	0.914400000	0.000615925	154.694912400
0.384179893	0.914400000	0.001051331	155.740786200
0.384179796	0.914400000	0.001051347	155.740826100
0.381638454	0.914400000	0.001485123	156.807791800
0.381638357	0.914400000	0.001485140	156.807832500
0.379096749	0.914400000	0.001917362	157.893004700
0.379096652	0.914400000	0.001917378	157.893046100
0.376554729	0.914400000	0.002347737	158.902120500
0.376554632	0.914400000	0.002347753	158.902159000
0.374012418	0.914400000	0.002776520	159.952184700
0.374012321	0.914400000	0.002776536	159.952224800
0.371469865	0.914400000	0.003203719	161.041121600
0.371469768	0.914400000	0.003203735	161.041163200
0.368926972	0.914400000	0.003629010	162.040312900
0.368926875	0.914400000	0.003629026	162.040351100
0.368926778	0.914400000	0.003629042	162.040390700
0.366383717	0.914400000	0.004052700	163.079800100
0.366383620	0.914400000	0.004052717	163.079841700
0.363840316	0.914400000	0.004474750	164.170510200
0.361296673	0.914400000	0.004894861	165.168069700
0.361296576	0.914400000	0.004894877	165.168107800
0.358752642	0.914400000	0.005313304	166.178791100
0.358752545	0.914400000	0.005313320	166.178833600
0.356208345	0.914400000	0.005730111	167.262483400
0.356208248	0.914400000	0.005730127	167.262521000
0.356208151	0.914400000	0.005730143	167.262557300
0.353663660	0.914400000	0.006145045	168.319144100
0.353663563	0.914400000	0.006145060	168.319187000
0.351118781	0.914400000	0.006558206	169.348432800
0.348573685	0.914400000	0.006969486	170.387935400
0.348573588	0.914400000	0.006969502	170.387975100
0.346028225	0.914400000	0.007379012	171.438880700
0.346028128	0.914400000	0.007379027	171.438920900
0.346028031	0.914400000	0.007379043	171.438961000
0.343482353	0.914400000	0.007786675	172.492135000
0.343482256	0.914400000	0.007786690	172.492175200
0.340936287	0.914400000	0.008192492	173.546444400
0.338390028	0.914400000	0.008596406	174.601718900
0.338389931	0.914400000	0.008596421	174.601759200
0.335843357	0.914400000	0.008998441	175.660453300
0.335843260	0.914400000	0.008998457	175.660493700
0.333296396	0.914400000	0.009398584	176.724660400
0.333296298	0.914400000	0.009398599	176.724701000
0.330749143	0.914400000	0.009796769	177.791120800
0.330749046	0.914400000	0.009796784	177.791161500
0.328201576	0.914400000	0.010193035	178.861158500
0.328201479	0.914400000	0.010193051	178.861199300
0.328201381	0.914400000	0.010193066	178.861240300
0.325653596	0.914400000	0.010587306	179.935272200
0.323105521	0.914400000	0.010979594	181.011374200
0.323105423	0.914400000	0.010979609	181.011415300
0.323105326	0.914400000	0.010979623	181.011456500
0.320556911	0.914400000	0.011369846	182.092322500
0.318008206	0.914400000	0.011758081	183.177326800
0.318008109	0.914400000	0.011758096	183.177368200
0.315459088	0.914400000	0.012144209	184.265919200
0.315458991	0.914400000	0.012144224	184.265960800
0.315458894	0.914400000	0.012144238	184.266006300
0.312909558	0.914400000	0.012528325	185.357629300
0.310359908	0.914400000	0.012910239	186.443833900
0.310359811	0.914400000	0.012910254	186.443871400
0.310359714	0.914400000	0.012910268	186.443908800
0.307809748	0.914400000	0.013290092	187.527555200
0.305259444	0.914400000	0.013667705	188.612688300
0.305259347	0.914400000	0.013667719	188.612737600
0.302708728	0.914400000	0.014043175	189.701222500
0.302708631	0.914400000	0.014043190	189.701260100
0.302708533	0.914400000	0.014043204	189.701297800
0.300157575	0.914400000	0.014416403	190.792547800
0.300157478	0.914400000	0.014416417	190.792593600
0.297606205	0.914400000	0.014787392	191.889996000
0.295054617	0.914400000	0.015156072	192.997458700
0.295054519	0.914400000	0.015156086	192.997501000
0.292502568	0.914400000	0.015522455	194.118906300
0.292502471	0.914400000	0.015522469	194.118953200
0.289950204	0.914400000	0.015886503	195.250405200
0.289950107	0.914400000	0.015886517	195.250450000
0.287397502	0.914400000	0.016248150	196.386730400
0.287397404	0.914400000	0.016248163	196.386768000
0.284844436	0.914400000	0.016607421	197.528058100
0.284844338	0.914400000	0.016607435	197.528105800
0.282291055	0.914400000	0.016964205	198.680604000
0.282290957	0.914400000	0.016964219	198.680643700
0.282290860	0.914400000	0.016964232	198.680683800
0.279737213	0.914400000	0.017318589	199.841399400
0.279737116	0.914400000	0.017318603	199.841447900
0.277183130	0.914400000	0.017670359	201.002890700
0.274628804	0.914400000	0.018019647	202.172474700
0.274628707	0.914400000	0.018019661	202.172519300
0.272073994	0.914400000	0.018366273	203.344551300
0.272073897	0.914400000	0.018366286	203.344600300
0.269518869	0.914400000	0.018710338	204.522669500
0.269518772	0.914400000	0.018710351	204.522710200
0.269518674	0.914400000	0.018710364	204.522751200
0.266963259	0.914400000	0.019051700	205.709812600
0.264407505	0.914400000	0.019390364	206.905327000
0.264407407	0.914400000	0.019390377	206.905377000
0.261851266	0.914400000	0.019726275	208.114422000
0.261851168	0.914400000	0.019726288	208.114472600
0.259294687	0.914400000	0.020059388	209.341056100
0.259294590	0.914400000	0.020059401	209.341104700
0.256737721	0.914400000	0.020389681	210.585852200
0.256737624	0.914400000	0.020389694	210.585893500
0.254180392	0.914400000	0.020717055	211.848471100
0.254180294	0.914400000	0.020717068	211.848523900
0.251622699	0.914400000	0.021041563	213.126432700
0.251622602	0.914400000	0.021041575	213.126476700
0.251622504	0.914400000	0.021041588	213.126521400
0.249064521	0.914400000	0.021363031	214.419951100
0.249064424	0.914400000	0.021363043	214.420005700
0.246506053	0.914400000	0.021681560	215.729146300
0.243947320	0.914400000	0.021996894	217.045943200
0.243947222	0.914400000	0.021996906	217.045993400
0.241388101	0.914400000	0.022309223	218.376736300
0.241388003	0.914400000	0.022309235	218.376787000
0.238828495	0.914400000	0.022618269	219.717559600
0.238828397	0.914400000	0.022618281	219.717610700
0.236268501	0.914400000	0.022924184	221.073561800
0.236268403	0.914400000	0.022924196	221.073613500
0.233708119	0.914400000	0.023226737	222.448167800
0.233708022	0.914400000	0.023226748	222.448220200
0.231147350	0.914400000	0.023526028	223.838934600
0.231147252	0.914400000	0.023526039	223.838987600
0.228586169	0.914400000	0.023821859	225.248581500
0.228586072	0.914400000	0.023821870	225.248635300
0.228585974	0.914400000	0.023821881	225.248695000
0.226024503	0.914400000	0.024114308	226.679163800
0.223462645	0.914400000	0.024403163	228.129368200
0.223462547	0.914400000	0.024403174	228.129418300
0.223462449	0.914400000	0.024403185	228.129469000
0.220900179	0.914400000	0.024688518	229.599527800
0.218337497	0.914400000	0.024970172	231.087698000
0.218337400	0.914400000	0.024970183	231.087760100
0.215774330	0.914400000	0.025248188	232.589635600
0.215774232	0.914400000	0.025248198	232.589693000
0.215774135	0.914400000	0.025248209	232.589756600
0.213210653	0.914400000	0.025522391	234.112479800
0.210646785	0.914400000	0.025792813	235.653545200
0.210646687	0.914400000	0.025792824	235.653598400
0.210646589	0.914400000	0.025792834	235.653652200
0.208082284	0.914400000	0.026059262	237.213100300
0.205517592	0.914400000	0.026321818	238.786292600
0.205517494	0.914400000	0.026321828	238.786364100
0.202952366	0.914400000	0.026580223	240.377200000
0.202952268	0.914400000	0.026580233	240.377254900
0.202952170	0.914400000	0.026580243	240.377310400
0.200386654	0.914400000	0.026834660	241.983799500
0.197820715	0.914400000	0.027084729	243.578536500
0.197820617	0.914400000	0.027084738	243.578603200
0.195254265	0.914400000	0.027330644	245.185960300
