TITLE = "cutData curvilinear distance mapping"
VARIABLES = "s" "variable Index"

ZONE T="SLICE_Y_0p1_BINS01_KS_0p5mm_CUTDATA"
0.773980455947 85
0.776812169209 86
0.781114935761 87
0.782809279292 88
0.783836313858 89
0.786417495758 90
0.787011633789 91
0.788514996686 92
0.788827566678 93
0.789613950808 94
0.789714449564 95

ZONE T="SLICE_Y_1p4_BINS07_KS_0p5mm_CUTDATA"
-0.594268213052 0
-0.594268213052 96
-0.594207385427 1
-0.594006387914 2
-0.593835215487 3
-0.593179014298 4
-0.591928734329 5
-0.591596318927 6
-0.589449274446 7
-0.588894837795 8
-0.585306509494 9
-0.584379956743 10
-0.578415118103 11
-0.57686344159 12
-0.566898477968 13
-0.564309848987 14
-0.547735066937 15
-0.543413666701 16
-0.536416624469 17
-0.509539563618 18
-0.498824994098 19
-0.457705040304 20
-0.442880540312 21
-0.385998231991 22
-0.368313362752 23
-0.300430816394 24
-0.282777915783 25
-0.215016932171 26
-0.158328384827 27
-0.143563494038 28
-0.102569616446 29
-0.0918904217203 30
-0.0650740815524 31
-0.0580809420571 32
-0.0414764215883 33
-0.0371559470773 34
-0.0345316757499 35
-0.0244664385445 36
-0.0228311709823 37
-0.0165591617349 38
-0.0123423857152 39
-0.0112494538784 40
-0.00822300381272 41
-0.00743104421779 42
-0.00512861072255 43
-0.00452115702061 44
-0.0040307490272 45
-0.00215455607337 46
-0.00171172427686 47
0 48
0.00044283179651 49
0.00215455607337 50
0.0040307490272 51
0.00452115702061 52
0.00683740398499 53
0.00743103686818 54
0.0104574869338 55
0.0112494465288 56
0.0123423783656 57
0.0165591543853 58
0.0228311636327 59
0.0244664311949 60
0.0270925500041 61
0.0371559341268 62
0.0537604545956 63
0.0580809291066 64
0.0650740686018 65
0.0918904087697 66
0.102569603496 67
0.143563481088 68
0.158328371876 69
0.21501691922 70
0.232669819832 71
0.300430803443 72
0.368313349801 73
0.38599821904 74
0.442880527362 75
0.457705027353 76
0.498824981147 77
0.509539550667 78
0.516535442319 79
0.543413650964 80
0.559987211234 81
0.564309826183 82
0.574263644546 83
0.576863413766 84
0.578415090279 85
0.584379928919 86
0.58530648167 87
0.588894809971 88
0.589449246622 89
0.591596291102 90
0.591928706505 91
0.593178986474 92
0.593835187663 93
0.59400636009 94
0.594207357603 95

ZONE T="SLICE_Y_0p1_BINS15_KS_0p5mm_CUTDATA"
0 0

ZONE T="SLICE_Y_0p75_BINS15_KS_0p5mm_CUTDATA"
0 0

ZONE T="SLICE_Y_1p4_BINS15_KS_0p5mm_CUTDATA"
0 0

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_CUTDATA"
-0.985642508558 0
-0.985642508558 96
-0.985380783511 1
-0.985219538356 2
-0.984362450263 3
-0.983847668756 4
-0.98287027426 5
-0.981226802325 6
-0.979553571917 7
-0.976730523919 8
-0.973948420398 9
-0.969252464691 10
-0.964617284004 11
-0.956788203598 12
-0.949040965381 13
-0.93595279897 14
-0.923076724258 15
-0.901304847903 16
-0.866010553747 17
-0.845123366286 18
-0.813159747905 19
-0.759145109149 20
-0.714930647714 21
-0.640221696443 22
-0.587458398593 23
-0.498294252211 24
-0.445635682158 25
-0.356631299682 26
-0.312567063617 27
-0.238102819848 28
-0.206254892129 29
-0.152417911345 30
-0.131569820305 31
-0.0963324849915 32
-0.0745306135122 33
-0.0616214462268 34
-0.0484024220571 35
-0.0405867391055 36
-0.0323377512888 37
-0.027457495148 38
-0.0219177027331 39
-0.0186442947231 40
-0.0146774193784 41
-0.0123297822685 42
-0.009297934647 43
-0.00750860516365 44
-0.00604675701832 45
-0.0035759474344 46
-0.00132966161109 47
0 48
0.00224628582331 49
0.0035759474344 50
0.00604675701832 51
0.00750860516365 52
0.0105350552293 53
0.0123297696913 54
0.0163037349654 55
0.0186442690925 56
0.0241840615074 57
0.0274574695174 58
0.0357031047264 59
0.040586709952 60
0.0538057341218 61
0.0616214170734 62
0.0745305843587 63
0.096332455838 64
0.117181518167 65
0.152417881487 66
0.18427518991 67
0.238102789708 68
0.312567033477 69
0.356631269542 70
0.445635652018 71
0.498294222071 72
0.587458368453 73
0.640221666303 74
0.684426164942 75
0.75914507888 76
0.791107688285 77
0.845123335093 78
0.880416480319 79
0.901304814384 80
0.923076690739 81
0.935952765451 82
0.949040931862 83
0.95678817008 84
0.964617250485 85
0.969252431172 86
0.973948386879 87
0.9767304904 88
0.979553538398 89
0.981226768806 90
0.982870240741 91
0.983847635237 92
0.98470472333 93
0.985219504837 94
0.985491166391 95

ZONE T="SLICE_Y_0p75_BINS01_KS_1mm_CUTDATA"
-0.789956320007 0
-0.789956320007 96
-0.789855821251 1
-0.789613953518 2
-0.789301383526 3
-0.788514999396 4
-0.787011636499 5
-0.786417498468 6
-0.785389247526 7
-0.782809325046 8
-0.781114981516 9
-0.776812214964 10
-0.773980501701 11
-0.76682739748 12
-0.762091745466 13
-0.750132293137 14
-0.730243288637 15
-0.72236458316 16
-0.69011165151 17
-0.677326859764 18
-0.657777348261 19
-0.608426452626 20
-0.581375055249 21
-0.513110480249 22
-0.431641319212 23
-0.399368665154 24
-0.318045378206 25
-0.285830156648 26
-0.217787905069 27
-0.190839070215 28
-0.141650529883 29
-0.122155389462 30
-0.0899628670387 31
-0.0772124278306 32
-0.069319563965 33
-0.0493957691458 34
-0.0373162617055 35
-0.0325327378998 36
-0.0295406817506 37
-0.0220033811728 38
-0.0169544505929 39
-0.0149488334809 40
-0.0113213688016 41
-0.00988592461943 42
-0.00712024206353 43
-0.00601349005879 44
-0.00512152593395 45
-0.00285911571474 46
-0.00205406913223 47
0 48
0.000814984662432 49
0.00285912262255 50
0.00375449963812 51
0.0060134374416 52
0.00712018944634 53
0.00988587200224 54
0.0135133366816 55
0.0149487808637 56
0.0200030859594 57
0.0220033359438 58
0.0295406365216 59
0.0325326926708 60
0.0446023736939 61
0.0493957232534 62
0.0693195180727 63
0.0772123819382 64
0.0899628211464 65
0.12215534357 66
0.171343883902 67
0.190839024322 68
0.258871279172 69
0.285830110749 70
0.367143399331 71
0.399368619269 72
0.480827799844 73
0.513110434495 74
0.581375009495 75
0.608426406871 76
0.657777302507 77
0.677326814009 78
0.709579745659 79
0.722364537406 80
0.730243242883 81
0.750132247383 82
0.754867899397 83
0.766827351726 84
0.773980455947 85
0.776812169209 86
0.781114935761 87
0.782809279292 88
0.783836313858 89
0.786417495758 90
0.787011633789 91
0.788514996686 92
0.788827566678 93
0.789613950808 94
0.789714449564 95

ZONE T="SLICE_Y_1p4_BINS01_KS_1mm_CUTDATA"
-0.594268213052 0
-0.594268213052 96
-0.594207385427 1
-0.594006387914 2
-0.593835215487 3
-0.593179014298 4
-0.591928734329 5
-0.591596318927 6
-0.589449274446 7
-0.588894837795 8
-0.585306509494 9
-0.584379956743 10
-0.578415118103 11
-0.57686344159 12
-0.566898477968 13
-0.564309848987 14
-0.547735066937 15
-0.543413666701 16
-0.536416624469 17
-0.509539563618 18
-0.498824994098 19
-0.457705040304 20
-0.442880540312 21
-0.385998231991 22
-0.368313362752 23
-0.300430816394 24
-0.282777915783 25
-0.215016932171 26
-0.158328384827 27
-0.143563494038 28
-0.102569616446 29
-0.0918904217203 30
-0.0650740815524 31
-0.0580809420571 32
-0.0414764215883 33
-0.0371559470773 34
-0.0345316757499 35
-0.0244664385445 36
-0.0228311709823 37
-0.0165591617349 38
-0.0123423857152 39
-0.0112494538784 40
-0.00822300381272 41
-0.00743104421779 42
-0.00512861072255 43
-0.00452115702061 44
-0.0040307490272 45
-0.00215455607337 46
-0.00171172427686 47
0 48
0.00044283179651 49
0.00215455607337 50
0.0040307490272 51
0.00452115702061 52
0.00683740398499 53
0.00743103686818 54
0.0104574869338 55
0.0112494465288 56
0.0123423783656 57
0.0165591543853 58
0.0228311636327 59
0.0244664311949 60
0.0270925500041 61
0.0371559341268 62
0.0537604545956 63
0.0580809291066 64
0.0650740686018 65
0.0918904087697 66
0.102569603496 67
0.143563481088 68
0.158328371876 69
0.21501691922 70
0.232669819832 71
0.300430803443 72
0.368313349801 73
0.38599821904 74
0.442880527362 75
0.457705027353 76
0.498824981147 77
0.509539550667 78
0.516535442319 79
0.543413650964 80
0.559987211234 81
0.564309826183 82
0.574263644546 83
0.576863413766 84
0.578415090279 85
0.584379928919 86
0.58530648167 87
0.588894809971 88
0.589449246622 89
0.591596291102 90
0.591928706505 91
0.593178986474 92
0.593835187663 93
0.59400636009 94
0.594207357603 95

ZONE T="SLICE_Y_0p1_BINS03_KS_1mm_CUTDATA"
-0.985642508558 0
-0.985642508558 96
-0.985380783511 1
-0.985219538356 2
-0.984362450263 3
-0.983847668756 4
-0.98287027426 5
-0.981226802325 6
-0.979553571917 7
-0.976730523919 8
-0.973948420398 9
-0.969252464691 10
-0.964617284004 11
-0.956788203598 12
-0.949040965381 13
-0.93595279897 14
-0.923076724258 15
-0.901304847903 16
-0.866010553747 17
-0.845123366286 18
-0.813159747905 19
-0.759145109149 20
-0.714930647714 21
-0.640221696443 22
-0.587458398593 23
-0.498294252211 24
-0.445635682158 25
-0.356631299682 26
-0.312567063617 27
-0.238102819848 28
-0.206254892129 29
-0.152417911345 30
-0.131569820305 31
-0.0963324849915 32
-0.0745306135122 33
-0.0616214462268 34
-0.0484024220571 35
-0.0405867391055 36
-0.0323377512888 37
-0.027457495148 38
-0.0219177027331 39
-0.0186442947231 40
-0.0146774193784 41
-0.0123297822685 42
-0.009297934647 43
-0.00750860516365 44
-0.00604675701832 45
-0.0035759474344 46
-0.00132966161109 47
0 48
0.00224628582331 49
0.0035759474344 50
0.00604675701832 51
0.00750860516365 52
0.0105350552293 53
0.0123297696913 54
0.0163037349654 55
0.0186442690925 56
0.0241840615074 57
0.0274574695174 58
0.0357031047264 59
0.040586709952 60
0.0538057341218 61
0.0616214170734 62
0.0745305843587 63
0.096332455838 64
0.117181518167 65
0.152417881487 66
0.18427518991 67
0.238102789708 68
0.312567033477 69
0.356631269542 70
0.445635652018 71
0.498294222071 72
0.587458368453 73
0.640221666303 74
0.684426164942 75
0.75914507888 76
0.791107688285 77
0.845123335093 78
0.880416480319 79
0.901304814384 80
0.923076690739 81
0.935952765451 82
0.949040931862 83
0.95678817008 84
0.964617250485 85
0.969252431172 86
0.973948386879 87
0.9767304904 88
0.979553538398 89
0.981226768806 90
0.982870240741 91
0.983847635237 92
0.98470472333 93
0.985219504837 94
0.985491166391 95

ZONE T="SLICE_Y_0p75_BINS03_KS_1mm_CUTDATA"
-0.789956320007 0
-0.789956320007 96
-0.789855821251 1
-0.789613953518 2
-0.789301383526 3
-0.788514999396 4
-0.787011636499 5
-0.786417498468 6
-0.785389247526 7
-0.782809325046 8
-0.781114981516 9
-0.776812214964 10
-0.773980501701 11
-0.76682739748 12
-0.762091745466 13
-0.750132293137 14
-0.730243288637 15
-0.72236458316 16
-0.69011165151 17
-0.677326859764 18
-0.657777348261 19
-0.608426452626 20
-0.581375055249 21
-0.513110480249 22
-0.431641319212 23
-0.399368665154 24
-0.318045378206 25
-0.285830156648 26
-0.217787905069 27
-0.190839070215 28
-0.141650529883 29
-0.122155389462 30
-0.0899628670387 31
-0.0772124278306 32
-0.069319563965 33
-0.0493957691458 34
-0.0373162617055 35
-0.0325327378998 36
-0.0295406817506 37
-0.0220033811728 38
-0.0169544505929 39
-0.0149488334809 40
-0.0113213688016 41
-0.00988592461943 42
-0.00712024206353 43
-0.00601349005879 44
-0.00512152593395 45
-0.00285911571474 46
-0.00205406913223 47
0 48
0.000814984662432 49
0.00285912262255 50
0.00375449963812 51
0.0060134374416 52
0.00712018944634 53
0.00988587200224 54
0.0135133366816 55
0.0149487808637 56
0.0200030859594 57
0.0220033359438 58
0.0295406365216 59
0.0325326926708 60
0.0446023736939 61
0.0493957232534 62
0.0693195180727 63
0.0772123819382 64
0.0899628211464 65
0.12215534357 66
0.171343883902 67
0.190839024322 68
0.258871279172 69
0.285830110749 70
0.367143399331 71
0.399368619269 72
0.480827799844 73
0.513110434495 74
0.581375009495 75
0.608426406871 76
0.657777302507 77
0.677326814009 78
0.709579745659 79
0.722364537406 80
0.730243242883 81
0.750132247383 82
0.754867899397 83
0.766827351726 84
0.773980455947 85
0.776812169209 86
0.781114935761 87
0.782809279292 88
0.783836313858 89
0.786417495758 90
0.787011633789 91
0.788514996686 92
0.788827566678 93
0.789613950808 94
0.789714449564 95

ZONE T="SLICE_Y_1p4_BINS03_KS_1mm_CUTDATA"
-0.594268213052 0
-0.594268213052 96
-0.594207385427 1
-0.594006387914 2
-0.593835215487 3
-0.593179014298 4
-0.591928734329 5
-0.591596318927 6
-0.589449274446 7
-0.588894837795 8
-0.585306509494 9
-0.584379956743 10
-0.578415118103 11
-0.57686344159 12
-0.566898477968 13
-0.564309848987 14
-0.547735066937 15
-0.543413666701 16
-0.536416624469 17
-0.509539563618 18
-0.498824994098 19
-0.457705040304 20
-0.442880540312 21
-0.385998231991 22
-0.368313362752 23
-0.300430816394 24
-0.282777915783 25
-0.215016932171 26
-0.158328384827 27
-0.143563494038 28
-0.102569616446 29
-0.0918904217203 30
-0.0650740815524 31
-0.0580809420571 32
-0.0414764215883 33
-0.0371559470773 34
-0.0345316757499 35
-0.0244664385445 36
-0.0228311709823 37
-0.0165591617349 38
-0.0123423857152 39
-0.0112494538784 40
-0.00822300381272 41
-0.00743104421779 42
-0.00512861072255 43
-0.00452115702061 44
-0.0040307490272 45
-0.00215455607337 46
-0.00171172427686 47
0 48
0.00044283179651 49
0.00215455607337 50
0.0040307490272 51
0.00452115702061 52
0.00683740398499 53
0.00743103686818 54
0.0104574869338 55
0.0112494465288 56
0.0123423783656 57
0.0165591543853 58
0.0228311636327 59
0.0244664311949 60
0.0270925500041 61
0.0371559341268 62
0.0537604545956 63
0.0580809291066 64
0.0650740686018 65
0.0918904087697 66
0.102569603496 67
0.143563481088 68
0.158328371876 69
0.21501691922 70
0.232669819832 71
0.300430803443 72
0.368313349801 73
0.38599821904 74
0.442880527362 75
0.457705027353 76
0.498824981147 77
0.509539550667 78
0.516535442319 79
0.543413650964 80
0.559987211234 81
0.564309826183 82
0.574263644546 83
0.576863413766 84
0.578415090279 85
0.584379928919 86
0.58530648167 87
0.588894809971 88
0.589449246622 89
0.591596291102 90
0.591928706505 91
0.593178986474 92
0.593835187663 93
0.59400636009 94
0.594207357603 95

ZONE T="SLICE_Y_0p1_BINS07_KS_1mm_CUTDATA"
-0.985642508558 0
-0.985642508558 96
-0.985380783511 1
-0.985219538356 2
-0.984362450263 3
-0.983847668756 4
-0.98287027426 5
-0.981226802325 6
-0.979553571917 7
-0.976730523919 8
-0.973948420398 9
-0.969252464691 10
-0.964617284004 11
-0.956788203598 12
-0.949040965381 13
-0.93595279897 14
-0.923076724258 15
-0.901304847903 16
-0.866010553747 17
-0.845123366286 18
-0.813159747905 19
-0.759145109149 20
-0.714930647714 21
-0.640221696443 22
-0.587458398593 23
-0.498294252211 24
-0.445635682158 25
-0.356631299682 26
-0.312567063617 27
-0.238102819848 28
-0.206254892129 29
-0.152417911345 30
-0.131569820305 31
-0.0963324849915 32
-0.0745306135122 33
-0.0616214462268 34
-0.0484024220571 35
-0.0405867391055 36
-0.0323377512888 37
-0.027457495148 38
-0.0219177027331 39
-0.0186442947231 40
-0.0146774193784 41
-0.0123297822685 42
-0.009297934647 43
-0.00750860516365 44
-0.00604675701832 45
-0.0035759474344 46
-0.00132966161109 47
0 48
0.00224628582331 49
0.0035759474344 50
0.00604675701832 51
0.00750860516365 52
0.0105350552293 53
0.0123297696913 54
0.0163037349654 55
0.0186442690925 56
0.0241840615074 57
0.0274574695174 58
0.0357031047264 59
0.040586709952 60
0.0538057341218 61
0.0616214170734 62
0.0745305843587 63
0.096332455838 64
0.117181518167 65
0.152417881487 66
0.18427518991 67
0.238102789708 68
0.312567033477 69
0.356631269542 70
0.445635652018 71
0.498294222071 72
0.587458368453 73
0.640221666303 74
0.684426164942 75
0.75914507888 76
0.791107688285 77
0.845123335093 78
0.880416480319 79
0.901304814384 80
0.923076690739 81
0.935952765451 82
0.949040931862 83
0.95678817008 84
0.964617250485 85
0.969252431172 86
0.973948386879 87
0.9767304904 88
0.979553538398 89
0.981226768806 90
0.982870240741 91
0.983847635237 92
0.98470472333 93
0.985219504837 94
0.985491166391 95

ZONE T="SLICE_Y_0p75_BINS07_KS_1mm_CUTDATA"
-0.789956320007 0
-0.789956320007 96
-0.789855821251 1
-0.789613953518 2
-0.789301383526 3
-0.788514999396 4
-0.787011636499 5
-0.786417498468 6
-0.785389247526 7
-0.782809325046 8
-0.781114981516 9
-0.776812214964 10
-0.773980501701 11
-0.76682739748 12
-0.762091745466 13
-0.750132293137 14
-0.730243288637 15
-0.72236458316 16
-0.69011165151 17
-0.677326859764 18
-0.657777348261 19
-0.608426452626 20
-0.581375055249 21
-0.513110480249 22
-0.431641319212 23
-0.399368665154 24
-0.318045378206 25
-0.285830156648 26
-0.217787905069 27
-0.190839070215 28
-0.141650529883 29
-0.122155389462 30
-0.0899628670387 31
-0.0772124278306 32
-0.069319563965 33
-0.0493957691458 34
-0.0373162617055 35
-0.0325327378998 36
-0.0295406817506 37
-0.0220033811728 38
-0.0169544505929 39
-0.0149488334809 40
-0.0113213688016 41
-0.00988592461943 42
-0.00712024206353 43
-0.00601349005879 44
-0.00512152593395 45
-0.00285911571474 46
-0.00205406913223 47
0 48
0.000814984662432 49
0.00285912262255 50
0.00375449963812 51
0.0060134374416 52
0.00712018944634 53
0.00988587200224 54
0.0135133366816 55
0.0149487808637 56
0.0200030859594 57
0.0220033359438 58
0.0295406365216 59
0.0325326926708 60
0.0446023736939 61
0.0493957232534 62
0.0693195180727 63
0.0772123819382 64
0.0899628211464 65
0.12215534357 66
0.171343883902 67
0.190839024322 68
0.258871279172 69
0.285830110749 70
0.367143399331 71
0.399368619269 72
0.480827799844 73
0.513110434495 74
0.581375009495 75
0.608426406871 76
0.657777302507 77
0.677326814009 78
0.709579745659 79
0.722364537406 80
0.730243242883 81
0.750132247383 82
0.754867899397 83
0.766827351726 84
0.773980455947 85
0.776812169209 86
0.781114935761 87
0.782809279292 88
0.783836313858 89
0.786417495758 90
0.787011633789 91
0.788514996686 92
0.788827566678 93
0.789613950808 94
0.789714449564 95

ZONE T="SLICE_Y_1p4_BINS07_KS_1mm_CUTDATA"
-0.594268213052 0
-0.594268213052 96
-0.594207385427 1
-0.594006387914 2
-0.593835215487 3
-0.593179014298 4
-0.591928734329 5
-0.591596318927 6
-0.589449274446 7
-0.588894837795 8
-0.585306509494 9
-0.584379956743 10
-0.578415118103 11
-0.57686344159 12
-0.566898477968 13
-0.564309848987 14
-0.547735066937 15
-0.543413666701 16
-0.536416624469 17
-0.509539563618 18
-0.498824994098 19
-0.457705040304 20
-0.442880540312 21
-0.385998231991 22
-0.368313362752 23
-0.300430816394 24
-0.282777915783 25
-0.215016932171 26
-0.158328384827 27
-0.143563494038 28
-0.102569616446 29
-0.0918904217203 30
-0.0650740815524 31
-0.0580809420571 32
-0.0414764215883 33
-0.0371559470773 34
-0.0345316757499 35
-0.0244664385445 36
-0.0228311709823 37
-0.0165591617349 38
-0.0123423857152 39
-0.0112494538784 40
-0.00822300381272 41
-0.00743104421779 42
-0.00512861072255 43
-0.00452115702061 44
-0.0040307490272 45
-0.00215455607337 46
-0.00171172427686 47
0 48
0.00044283179651 49
0.00215455607337 50
0.0040307490272 51
0.00452115702061 52
0.00683740398499 53
0.00743103686818 54
0.0104574869338 55
0.0112494465288 56
0.0123423783656 57
0.0165591543853 58
0.0228311636327 59
0.0244664311949 60
0.0270925500041 61
0.0371559341268 62
0.0537604545956 63
0.0580809291066 64
0.0650740686018 65
0.0918904087697 66
0.102569603496 67
0.143563481088 68
0.158328371876 69
0.21501691922 70
0.232669819832 71
0.300430803443 72
0.368313349801 73
0.38599821904 74
0.442880527362 75
0.457705027353 76
0.498824981147 77
0.509539550667 78
0.516535442319 79
0.543413650964 80
0.559987211234 81
0.564309826183 82
0.574263644546 83
0.576863413766 84
0.578415090279 85
0.584379928919 86
0.58530648167 87
0.588894809971 88
0.589449246622 89
0.591596291102 90
0.591928706505 91
0.593178986474 92
0.593835187663 93
0.59400636009 94
0.594207357603 95

ZONE T="SLICE_Y_0p1_BINS15_KS_1mm_CUTDATA"
-0.985642508558 0
-0.985642508558 96
-0.985380783511 1
-0.985219538356 2
-0.984362450263 3
-0.983847668756 4
-0.98287027426 5
-0.981226802325 6
-0.979553571917 7
-0.976730523919 8
-0.973948420398 9
-0.969252464691 10
-0.964617284004 11
-0.956788203598 12
-0.949040965381 13
-0.93595279897 14
-0.923076724258 15
-0.901304847903 16
-0.866010553747 17
-0.845123366286 18
-0.813159747905 19
-0.759145109149 20
-0.714930647714 21
-0.640221696443 22
-0.587458398593 23
-0.498294252211 24
-0.445635682158 25
-0.356631299682 26
-0.312567063617 27
-0.238102819848 28
-0.206254892129 29
-0.152417911345 30
-0.131569820305 31
-0.0963324849915 32
-0.0745306135122 33
-0.0616214462268 34
-0.0484024220571 35
-0.0405867391055 36
-0.0323377512888 37
-0.027457495148 38
-0.0219177027331 39
-0.0186442947231 40
-0.0146774193784 41
-0.0123297822685 42
-0.009297934647 43
-0.00750860516365 44
-0.00604675701832 45
-0.0035759474344 46
-0.00132966161109 47
0 48
0.00224628582331 49
0.0035759474344 50
0.00604675701832 51
0.00750860516365 52
0.0105350552293 53
0.0123297696913 54
0.0163037349654 55
0.0186442690925 56
0.0241840615074 57
0.0274574695174 58
0.0357031047264 59
0.040586709952 60
0.0538057341218 61
0.0616214170734 62
0.0745305843587 63
0.096332455838 64
0.117181518167 65
0.152417881487 66
0.18427518991 67
0.238102789708 68
0.312567033477 69
0.356631269542 70
0.445635652018 71
0.498294222071 72
0.587458368453 73
0.640221666303 74
0.684426164942 75
0.75914507888 76
0.791107688285 77
0.845123335093 78
0.880416480319 79
0.901304814384 80
0.923076690739 81
0.935952765451 82
0.949040931862 83
0.95678817008 84
0.964617250485 85
0.969252431172 86
0.973948386879 87
0.9767304904 88
0.979553538398 89
0.981226768806 90
0.982870240741 91
0.983847635237 92
0.98470472333 93
0.985219504837 94
0.985491166391 95

ZONE T="SLICE_Y_0p75_BINS15_KS_1mm_CUTDATA"
-0.789956320007 0
-0.789956320007 96
-0.789855821251 1
-0.789613953518 2
-0.789301383526 3
-0.788514999396 4
-0.787011636499 5
-0.786417498468 6
-0.785389247526 7
-0.782809325046 8
-0.781114981516 9
-0.776812214964 10
-0.773980501701 11
-0.76682739748 12
-0.762091745466 13
-0.750132293137 14
-0.730243288637 15
-0.72236458316 16
-0.69011165151 17
-0.677326859764 18
-0.657777348261 19
-0.608426452626 20
-0.581375055249 21
-0.513110480249 22
-0.431641319212 23
-0.399368665154 24
-0.318045378206 25
-0.285830156648 26
-0.217787905069 27
-0.190839070215 28
-0.141650529883 29
-0.122155389462 30
-0.0899628670387 31
-0.0772124278306 32
-0.069319563965 33
-0.0493957691458 34
-0.0373162617055 35
-0.0325327378998 36
-0.0295406817506 37
-0.0220033811728 38
-0.0169544505929 39
-0.0149488334809 40
-0.0113213688016 41
-0.00988592461943 42
-0.00712024206353 43
-0.00601349005879 44
-0.00512152593395 45
-0.00285911571474 46
-0.00205406913223 47
0 48
0.000814984662432 49
0.00285912262255 50
0.00375449963812 51
0.0060134374416 52
0.00712018944634 53
0.00988587200224 54
0.0135133366816 55
0.0149487808637 56
