#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm.
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999"
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"

VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_VAR_SINGLE_LAYER"
0.53247 0.91440 -0.02724
0.53230 0.91440 -0.02720
0.53212 0.91440 -0.02716
0.53184 0.91440 -0.02710
0.53156 0.91440 -0.02704
0.53110 0.91440 -0.02695
0.53065 0.91440 -0.02685
0.52993 0.91440 -0.02670
0.52921 0.91440 -0.02654
0.52805 0.91440 -0.02630
0.52689 0.91440 -0.02606
0.52504 0.91440 -0.02567
0.52319 0.91440 -0.02528
0.52134 0.91440 -0.02489
0.51948 0.91440 -0.02451
0.51763 0.91440 -0.02412
0.51578 0.91440 -0.02374
0.51392 0.91440 -0.02335
0.51207 0.91440 -0.02297
0.51021 0.91440 -0.02259
0.50836 0.91440 -0.02221
0.50650 0.91440 -0.02183
0.50465 0.91440 -0.02145
0.50279 0.91440 -0.02108
0.50093 0.91440 -0.02070
0.49908 0.91440 -0.02033
0.49722 0.91440 -0.01995
0.49537 0.91440 -0.01958
0.49351 0.91440 -0.01921
0.49165 0.91440 -0.01884
0.48979 0.91440 -0.01847
0.48794 0.91440 -0.01810
0.48608 0.91440 -0.01773
0.48422 0.91440 -0.01736
0.48236 0.91440 -0.01699
0.48051 0.91440 -0.01663
0.47865 0.91440 -0.01627
0.47679 0.91440 -0.01590
0.47493 0.91440 -0.01554
0.47307 0.91440 -0.01518
0.47121 0.91440 -0.01482
0.46935 0.91440 -0.01446
0.46749 0.91440 -0.01410
0.46564 0.91440 -0.01374
0.46378 0.91440 -0.01338
0.46192 0.91440 -0.01303
0.46006 0.91440 -0.01267
0.45820 0.91440 -0.01232
0.45634 0.91440 -0.01196
0.45447 0.91440 -0.01161
0.45261 0.91440 -0.01126
0.45075 0.91440 -0.01091
0.44889 0.91440 -0.01056
0.44703 0.91440 -0.01021
0.44517 0.91440 -0.00986
0.44331 0.91440 -0.00951
0.44145 0.91440 -0.00917
0.43958 0.91440 -0.00882
0.43772 0.91440 -0.00848
0.43586 0.91440 -0.00813
0.43400 0.91440 -0.00779
0.43214 0.91440 -0.00745
0.43027 0.91440 -0.00711
0.42841 0.91440 -0.00677
0.42655 0.91440 -0.00643
0.42468 0.91440 -0.00609
0.42282 0.91440 -0.00575
0.42096 0.91440 -0.00542
0.41909 0.91440 -0.00508
0.41723 0.91440 -0.00474
0.41537 0.91440 -0.00441
0.41350 0.91440 -0.00408
0.41164 0.91440 -0.00374
0.40977 0.91440 -0.00341
0.40791 0.91440 -0.00308
0.40604 0.91440 -0.00275
0.40418 0.91440 -0.00242
0.40231 0.91440 -0.00209
0.40045 0.91440 -0.00177
0.39858 0.91440 -0.00144
0.39672 0.91440 -0.00111
