#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p1mm_SINGLE_LAYER"
5.324723721E-01 9.143999815E-01 -2.723562531E-02
 5.317667127E-01 9.143999815E-01 -2.708593383E-02
 5.317667127E-01 9.143999815E-01 -2.708593383E-02
 5.306376219E-01 9.143999815E-01 -2.684669197E-02
 5.306376219E-01 9.143999815E-01 -2.684669197E-02
 5.288308859E-01 9.143999815E-01 -2.646474168E-02
 5.288308859E-01 9.143999815E-01 -2.646474168E-02
 5.259396434E-01 9.143999815E-01 -2.585575357E-02
 5.259396434E-01 9.143999815E-01 -2.585575171E-02
 5.213124752E-01 9.143999815E-01 -2.488694154E-02
 5.213124752E-01 9.143999815E-01 -2.488693967E-02
 5.139061213E-01 9.143999815E-01 -2.335049585E-02
 5.139061213E-01 9.143999815E-01 -2.335049212E-02
 5.057663321E-01 9.143999815E-01 -2.168183029E-02
 5.057663321E-01 9.143999815E-01 -2.168182842E-02
 4.976226091E-01 9.143999815E-01 -2.003249340E-02
 4.976225793E-01 9.143999815E-01 -2.003248967E-02
 4.894750118E-01 9.143999815E-01 -1.840214431E-02
 4.894749820E-01 9.143999815E-01 -1.840214059E-02
 4.813237488E-01 9.143999815E-01 -1.679023728E-02
 4.813237488E-01 9.143999815E-01 -1.679023355E-02
 4.731689990E-01 9.143999815E-01 -1.519634575E-02
 4.731689692E-01 9.143999815E-01 -1.519634109E-02
 4.650107622E-01 9.143999815E-01 -1.362020988E-02
 4.650107324E-01 9.143999815E-01 -1.362020522E-02
 4.568491578E-01 9.143999815E-01 -1.206147578E-02
 4.568491578E-01 9.143999815E-01 -1.206147298E-02
