TITLE = "cutData curvilinear distance mapping"
VARIABLES = "s" "variable Index"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_CUTDATA"
-0.985642378561 1
-0.985642378561 2
-0.983847580522 48
-0.981226721885 47
-0.976730445647 46
-0.969252391088 45
-0.956788130179 44
-0.935952727615 43
-0.901304776738 42
-0.845123297583 41
-0.759145041611 40
-0.640211666564 39
-0.498294202875 38
-0.356631250414 37
-0.238102770714 36
-0.152417863058 35
-0.0963324380351 34
-0.061621399445 33
-0.0405866924112 32
-0.0274574540479 31
-0.0186442537211 30
-0.0123297545327 29
-0.00750859284698 28
-0.00357594742691 27
0 26
0.00357594742691 25
0.00750859284698 24
0.0123297545327 23
0.0186442537211 22
0.0274574540479 21
0.0405866924112 20
0.061621399445 19
0.0963324380351 18
0.152417863058 17
0.238102770714 16
0.356631250414 15
0.498294202875 14
0.640211666564 13
0.759145041611 12
0.845123297583 11
0.901304776738 10
0.935952727615 9
0.956788130179 8
0.969252391088 7
0.976730445647 6
0.981226721885 5
0.983847580522 4
0.985219440574 0
0.985219440574 3

ZONE T="SLICE_Y_0p75_BINS01_KS_1mm_CUTDATA"
-0.78995612816 0
-0.78995612816 48
-0.789613783305 1
-0.788514829257 2
-0.786417378423 3
-0.782809207141 4
-0.776812124517 5
-0.766827311048 6
-0.750132206976 7
-0.722364497311 8
-0.677326774234 9
-0.608426367123 10
-0.513110395219 11
-0.399368580569 12
-0.285830072123 13
-0.190838985699 14
-0.122155304959 15
-0.0772123433302 16
-0.0493956846524 17
-0.0325326540825 18
-0.0220032998763 19
-0.0149487552418 20
-0.00988585093695 21
-0.00601342275815 22
-0.00285910825259 23
0 24
0.00285910825259 25
0.00601342275815 26
0.00988585093695 27
0.0149487552418 28
0.0220032998763 29
0.0325326540825 30
0.0493956846524 31
0.0772123433302 32
0.122155304959 33
0.190838985699 34
0.285830072123 35
0.399368580569 36
0.513110395219 37
0.608426367123 38
0.677326774234 39
0.722364497311 40
0.750132206976 41
0.766827311048 42
0.776812124517 43
0.782809207141 44
0.786417378423 45
0.788514829257 46
0.789613783305 47

ZONE T="SLICE_Y_1p4_BINS01_KS_1mm_CUTDATA"
-0.594267999682 0
-0.594267999682 48
-0.594006274635 1
-0.593178929484 2
-0.591596241896 3
-0.588894760821 4
-0.584379896482 5
-0.576863381332 6
-0.564309796187 7
-0.543413621896 8
-0.509539522646 9
-0.457704999401 10
-0.385998193587 11
-0.300430778644 12
-0.215016894527 13
-0.143563456541 14
-0.0918903842502 15
-0.0580809048102 16
-0.0371559101866 17
-0.0244664105904 18
-0.0165591354593 19
-0.0112494367861 20
-0.00743103397863 21
-0.00452115425603 22
-0.00215455331798 23
0 24
0.00215455331798 25
0.00452115425603 26
0.00743103397863 27
0.0112494367861 28
0.0165591354593 29
0.0244664105904 30
0.0371559101866 31
0.0580809048102 32
0.0918903842502 33
0.143563456541 34
0.215016894527 35
0.300430778644 36
0.385998193587 37
0.457704999401 38
0.509539522646 39
0.543413621896 40
0.564309796187 41
0.576863381332 42
0.584379896482 43
0.588894760821 44
0.591596241896 45
0.593178929484 46
0.594006274635 47

ZONE T="SLICE_Y_0p1_BINS03_KS_1mm_CUTDATA"
-0.985642378561 1
-0.985642378561 2
-0.983847580522 48
-0.981226721885 47
-0.976730445647 46
-0.969252391088 45
-0.956788130179 44
-0.935952727615 43
-0.901304776738 42
-0.845123297583 41
-0.759145041611 40
-0.640211666564 39
-0.498294202875 38
-0.356631250414 37
-0.238102770714 36
-0.152417863058 35
-0.0963324380351 34
-0.061621399445 33
-0.0405866924112 32
-0.0274574540479 31
-0.0186442537211 30
-0.0123297545327 29
-0.00750859284698 28
-0.00357594742691 27
0 26
0.00357594742691 25
0.00750859284698 24
0.0123297545327 23
0.0186442537211 22
0.0274574540479 21
0.0405866924112 20
0.061621399445 19
0.0963324380351 18
0.152417863058 17
0.238102770714 16
0.356631250414 15
0.498294202875 14
0.640211666564 13
0.759145041611 12
0.845123297583 11
0.901304776738 10
0.935952727615 9
0.956788130179 8
0.969252391088 7
0.976730445647 6
0.981226721885 5
0.983847580522 4
0.985219440574 0
0.985219440574 3

ZONE T="SLICE_Y_0p75_BINS03_KS_1mm_CUTDATA"
-0.78995612816 0
-0.78995612816 48
-0.789613783305 1
-0.788514829257 2
-0.786417378423 3
-0.782809207141 4
-0.776812124517 5
-0.766827311048 6
-0.750132206976 7
-0.722364497311 8
-0.677326774234 9
-0.608426367123 10
-0.513110395219 11
-0.399368580569 12
-0.285830072123 13
-0.190838985699 14
-0.122155304959 15
-0.0772123433302 16
-0.0493956846524 17
-0.0325326540825 18
-0.0220032998763 19
-0.0149487552418 20
-0.00988585093695 21
-0.00601342275815 22
-0.00285910825259 23
0 24
0.00285910825259 25
0.00601342275815 26
0.00988585093695 27
0.0149487552418 28
0.0220032998763 29
0.0325326540825 30
0.0493956846524 31
0.0772123433302 32
0.122155304959 33
0.190838985699 34
0.285830072123 35
0.399368580569 36
0.513110395219 37
0.608426367123 38
0.677326774234 39
0.722364497311 40
0.750132206976 41
0.766827311048 42
0.776812124517 43
0.782809207141 44
0.786417378423 45
0.788514829257 46
0.789613783305 47

ZONE T="SLICE_Y_1p4_BINS03_KS_1mm_CUTDATA"
-0.594267999682 0
-0.594267999682 48
-0.594006274635 1
-0.593178929484 2
-0.591596241896 3
-0.588894760821 4
-0.584379896482 5
-0.576863381332 6
-0.564309796187 7
-0.543413621896 8
-0.509539522646 9
-0.457704999401 10
-0.385998193587 11
-0.300430778644 12
-0.215016894527 13
-0.143563456541 14
-0.0918903842502 15
-0.0580809048102 16
-0.0371559101866 17
-0.0244664105904 18
-0.0165591354593 19
-0.0112494367861 20
-0.00743103397863 21
-0.00452115425603 22
-0.00215455331798 23
0 24
0.00215455331798 25
0.00452115425603 26
0.00743103397863 27
0.0112494367861 28
0.0165591354593 29
0.0244664105904 30
0.0371559101866 31
0.0580809048102 32
0.0918903842502 33
0.143563456541 34
0.215016894527 35
0.300430778644 36
0.385998193587 37
0.457704999401 38
0.509539522646 39
0.543413621896 40
0.564309796187 41
0.576863381332 42
0.584379896482 43
0.588894760821 44
0.591596241896 45
0.593178929484 46
0.594006274635 47

ZONE T="SLICE_Y_0p1_BINS07_KS_1mm_CUTDATA"
-0.985642378561 1
-0.985642378561 2
-0.983847580522 48
-0.981226721885 47
-0.976730445647 46
-0.969252391088 45
-0.956788130179 44
-0.935952727615 43
-0.901304776738 42
-0.845123297583 41
-0.759145041611 40
-0.640211666564 39
-0.498294202875 38
-0.356631250414 37
-0.238102770714 36
-0.152417863058 35
-0.0963324380351 34
-0.061621399445 33
-0.0405866924112 32
-0.0274574540479 31
-0.0186442537211 30
-0.0123297545327 29
-0.00750859284698 28
-0.00357594742691 27
0 26
0.00357594742691 25
0.00750859284698 24
0.0123297545327 23
0.0186442537211 22
0.0274574540479 21
0.0405866924112 20
0.061621399445 19
0.0963324380351 18
0.152417863058 17
0.238102770714 16
0.356631250414 15
0.498294202875 14
0.640211666564 13
0.759145041611 12
0.845123297583 11
0.901304776738 10
0.935952727615 9
0.956788130179 8
0.969252391088 7
0.976730445647 6
0.981226721885 5
0.983847580522 4
0.985219440574 0
0.985219440574 3

ZONE T="SLICE_Y_0p75_BINS07_KS_1mm_CUTDATA"
-0.78995612816 0
-0.78995612816 48
-0.789613783305 1
-0.788514829257 2
-0.786417378423 3
-0.782809207141 4
-0.776812124517 5
-0.766827311048 6
-0.750132206976 7
-0.722364497311 8
-0.677326774234 9
-0.608426367123 10
-0.513110395219 11
-0.399368580569 12
-0.285830072123 13
-0.190838985699 14
-0.122155304959 15
-0.0772123433302 16
-0.0493956846524 17
-0.0325326540825 18
-0.0220032998763 19
-0.0149487552418 20
-0.00988585093695 21
-0.00601342275815 22
-0.00285910825259 23
0 24
0.00285910825259 25
0.00601342275815 26
0.00988585093695 27
0.0149487552418 28
0.0220032998763 29
0.0325326540825 30
0.0493956846524 31
0.0772123433302 32
0.122155304959 33
0.190838985699 34
0.285830072123 35
0.399368580569 36
0.513110395219 37
0.608426367123 38
0.677326774234 39
0.722364497311 40
0.750132206976 41
0.766827311048 42
0.776812124517 43
0.782809207141 44
0.786417378423 45
0.788514829257 46
0.789613783305 47

ZONE T="SLICE_Y_1p4_BINS07_KS_1mm_CUTDATA"
-0.594267999682 0
-0.594267999682 48
-0.594006274635 47
-0.593178929484 46
-0.591596241896 45
-0.588894760821 44
-0.584379896482 43
-0.576863381332 42
-0.564309796187 41
-0.543413621896 40
-0.509539522646 39
-0.457704999401 38
-0.385998193587 37
-0.300430778644 36
-0.215016894527 35
-0.143563456541 34
-0.0918903842502 33
-0.0580809048102 32
-0.0371559101866 31
-0.0244664105904 30
-0.0165591354593 29
-0.0112494367861 28
-0.00743103397863 27
-0.00452115425603 26
-0.00215455331798 25
0 24
0.00215455331798 23
0.00452115425603 22
0.00743103397863 21
0.0112494367861 20
0.0165591354593 19
0.0244664105904 18
0.0371559101866 17
0.0580809048102 16
0.0918903842502 15
0.143563456541 14
0.215016894527 13
0.300430778644 12
0.385998193587 11
0.457704999401 10
0.509539522646 9
0.543413621896 8
0.564309796187 7
0.576863381332 6
0.584379896482 5
0.588894760821 4
0.591596241896 3
0.593178929484 2
0.594006274635 1

ZONE T="SLICE_Y_0p1_BINS15_KS_1mm_CUTDATA"
-0.985642378561 1
-0.985642378561 2
-0.983847580522 48
-0.981226721885 47
-0.976730445647 46
-0.969252391088 45
-0.956788130179 44
-0.935952727615 43
-0.901304776738 42
-0.845123297583 41
-0.759145041611 40
-0.640211666564 39
-0.498294202875 38
-0.356631250414 37
-0.238102770714 36
-0.152417863058 35
-0.0963324380351 34
-0.061621399445 33
-0.0405866924112 32
-0.0274574540479 31
-0.0186442537211 30
-0.0123297545327 29
-0.00750859284698 28
-0.00357594742691 27
0 26
0.00357594742691 25
0.00750859284698 24
0.0123297545327 23
0.0186442537211 22
0.0274574540479 21
0.0405866924112 20
0.061621399445 19
0.0963324380351 18
0.152417863058 17
0.238102770714 16
0.356631250414 15
0.498294202875 14
0.640211666564 13
0.759145041611 12
0.845123297583 11
0.901304776738 10
0.935952727615 9
0.956788130179 8
0.969252391088 7
0.976730445647 6
0.981226721885 5
0.983847580522 4
0.985219440574 0
0.985219440574 3

ZONE T="SLICE_Y_0p75_BINS15_KS_1mm_CUTDATA"
-0.78995612816 0
-0.78995612816 48
-0.789613783305 1
-0.788514829257 2
-0.786417378423 3
-0.782809207141 4
-0.776812124517 5
-0.766827311048 6
-0.750132206976 7
-0.722364497311 8
-0.677326774234 9
-0.608426367123 10
-0.513110395219 11
-0.399368580569 12
-0.285830072123 13
-0.190838985699 14
-0.122155304959 15
-0.0772123433302 16
-0.0493956846524 17
-0.0325326540825 18
-0.0220032998763 19
-0.0149487552418 20
-0.00988585093695 21
-0.00601342275815 22
-0.00285910825259 23
0 24
0.00285910825259 25
0.00601342275815 26
0.00988585093695 27
0.0149487552418 28
0.0220032998763 29
0.0325326540825 30
0.0493956846524 31
0.0772123433302 32
0.122155304959 33
0.190838985699 34
0.285830072123 35
0.399368580569 36
0.513110395219 37
0.608426367123 38
0.677326774234 39
0.722364497311 40
0.750132206976 41
0.766827311048 42
0.776812124517 43
0.782809207141 44
0.786417378423 45
0.788514829257 46
0.789613783305 47

ZONE T="SLICE_Y_1p4_BINS15_KS_1mm_CUTDATA"
-0.594267999682 0
-0.594267999682 48
-0.594006274635 1
-0.593178929484 2
-0.591596241896 3
-0.588894760821 4
-0.584379896482 5
-0.576863381332 6
-0.564309796187 7
-0.543413621896 8
-0.509539522646 9
-0.457704999401 10
-0.385998193587 11
-0.300430778644 12
-0.215016894527 13
-0.143563456541 14
-0.0918903842502 15
-0.0580809048102 16
-0.0371559101866 17
-0.0244664105904 18
-0.0165591354593 19
-0.0112494367861 20
-0.00743103397863 21
-0.00452115425603 22
-0.00215455331798 23
0 24
0.00215455331798 25
0.00452115425603 26
0.00743103397863 27
0.0112494367861 28
0.0165591354593 29
0.0244664105904 30
0.0371559101866 31
0.0580809048102 32
0.0918903842502 33
0.143563456541 34
0.215016894527 35
0.300430778644 36
0.385998193587 37
0.457704999401 38
0.509539522646 39
0.543413621896 40
0.564309796187 41
0.576863381332 42
0.584379896482 43
0.588894760821 44
0.591596241896 45
0.593178929484 46
0.594006274635 47
