TITLE = "TC_NACA0012_3932_L2_finalIceShape_V1 | NACA0012 coordinates rotated +4 degrees about X=0.13335 m"
AUXDATA NUM_LAYERS = "insert the number of total ice layers"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5334mm_SINGLE_LAYER"
0.533310731508 0.9143999815 0.000656606185775
0.533150018687 0.9143999815 0.000693130858383
0.532989246412 0.9143999815 0.000729651373505
0.532687421434 0.9143999815 0.000771903330994
0.532385537001 0.9143999815 0.000814151121022
0.53190263654 0.9143999815 0.000881645079528
0.531419676364 0.9143999815 0.000949138581511
0.530646928519 0.9143999815 0.00105678120878
0.529874120959 0.9143999815 0.00116442339948
0.528637617984 0.9143999815 0.00133578263464
0.527401114519 0.9143999815 0.00150714744919
0.525702787896 0.9143999815 0.00174108679725
0.524004401528 0.9143999815 0.00197502758116
0.522128896119 0.9143999815 0.00223146216907
0.520253330636 0.9143999815 0.0024879000144
0.518376835001 0.9143999815 0.00274226185862
0.516500338748 0.9143999815 0.00299663112771
0.514623631678 0.9143999815 0.00324888879729
0.512746864534 0.9143999815 0.00350114973426
0.510869885505 0.9143999815 0.00375131579786
0.508992846271 0.9143999815 0.0040014869943
0.50711553235 0.9143999815 0.00424960559949
0.505238218008 0.9143999815 0.00449773165348
0.50336062657 0.9143999815 0.00474383669513
0.501483034582 0.9143999815 0.00498995103107
0.499605225541 0.9143999815 0.0052340429597
0.497727356426 0.9143999815 0.00547813815572
0.495849298686 0.9143999815 0.00572023160779
0.493971180943 0.9143999815 0.00596233018669
0.492092842699 0.9143999815 0.00620245280088
0.490214444449 0.9143999815 0.00644258056186
0.488335883145 0.9143999815 0.00668076810247
0.486457261767 0.9143999815 0.00691895891047
0.484578446278 0.9143999815 0.00715522786642
0.482699600311 0.9143999815 0.00739150403395
0.480820559483 0.9143999815 0.00762586763975
0.478941458681 0.9143999815 0.00786023451992
0.477062161588 0.9143999815 0.00809270927844
0.475182834118 0.9143999815 0.00832519125552
0.473303338557 0.9143999815 0.00855580361284
0.471423783021 0.9143999815 0.00878641924453
0.46954402811 0.9143999815 0.00901518829037
0.467664213126 0.9143999815 0.00924396059363
0.465784257928 0.9143999815 0.00947089325474
0.463904242755 0.9143999815 0.00969782918023
0.462024057346 0.9143999815 0.00992292616106
0.460143812064 0.9143999815 0.0101480264133
0.458263424323 0.9143999815 0.0103713176715
0.456382976772 0.9143999815 0.0105946112833
0.454502356257 0.9143999815 0.0108161049552
0.452621705495 0.9143999815 0.0110376039902
0.450740881479 0.9143999815 0.0112573086686
0.44886002718 0.9143999815 0.0114770177655
0.446978998363 0.9143999815 0.0116949520251
0.445097909636 0.9143999815 0.0119128886363
0.443216675918 0.9143999815 0.0121290524751
0.441335382291 0.9143999815 0.0123452186595
0.439453944162 0.9143999815 0.0125596065071
0.437572446058 0.9143999815 0.01277399763
0.435690831232 0.9143999815 0.0129866403658
0.433809156495 0.9143999815 0.0131992854482
0.431927335276 0.9143999815 0.0134101805306
0.430045453983 0.9143999815 0.0136210788793
0.428163427898 0.9143999815 0.0138302044736
0.426281341771 0.9143999815 0.0140393328713
0.424399109129 0.9143999815 0.0142467117329
0.422516846239 0.9143999815 0.0144540959476
0.420634435535 0.9143999815 0.0146597492078
0.418751994649 0.9143999815 0.0148654068923
0.41686940666 0.9143999815 0.0150693220017
0.414986758829 0.9143999815 0.0152732399285
0.413103965195 0.9143999815 0.0154753966985
0.411221111703 0.9143999815 0.0156775565195
0.409338142508 0.9143999815 0.0158779519194
0.407455113371 0.9143999815 0.0160783501308
0.405571938271 0.9143999815 0.0162769909083
0.403688732972 0.9143999815 0.0164756363427
0.401805381562 0.9143999815 0.0166725250344
0.39992197031 0.9143999815 0.0168694165437
0.398038443241 0.9143999815 0.0170645452589
0.396154856339 0.9143999815 0.0172596766749
0.394271154209 0.9143999815 0.0174530368781
0.392387392154 0.9143999815 0.0176463996594
0.390503485837 0.9143999815 0.0178379806634
0.388619549325 0.9143999815 0.0180295662807
0.386735469182 0.9143999815 0.018219359691
0.384851329221 0.9143999815 0.0184091555559
0.38296707635 0.9143999815 0.0185971485106
0.381082793194 0.9143999815 0.0187851459403
0.379198368288 0.9143999815 0.0189713256654
0.377313883473 0.9143999815 0.019157507736
0.375429257762 0.9143999815 0.0193418599077
0.373544601853 0.9143999815 0.0195262167362
0.371659806087 0.9143999815 0.0197087288001
0.369774950412 0.9143999815 0.0198912432096
0.36788998571 0.9143999815 0.0200718977402
0.366004961197 0.9143999815 0.0202525546234
0.364119799035 0.9143999815 0.0204313337535
0.362234576964 0.9143999815 0.0206101152303
0.360349247817 0.9143999815 0.0207870103547
0.358463888487 0.9143999815 0.0209639099056
0.356578364317 0.9143999815 0.0211388947917
