#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5334mm_SINGLE_LAYER"
5.322920680E-01 9.143999815E-01 -2.725407481E-02
5.316609144E-01 9.143999815E-01 -2.706354484E-02
5.316609144E-01 9.143999815E-01 -2.706354484E-02
5.304682255E-01 9.143999815E-01 -2.681101114E-02
5.304682255E-01 9.143999815E-01 -2.681101114E-02
5.285598040E-01 9.143999815E-01 -2.640798129E-02
5.285598040E-01 9.143999815E-01 -2.640797943E-02
5.255056620E-01 9.143999815E-01 -2.576579712E-02
5.255056620E-01 9.143999815E-01 -2.576579526E-02
5.206177235E-01 9.143999815E-01 -2.474503405E-02
5.206177235E-01 9.143999815E-01 -2.474503219E-02
5.137227774E-01 9.143999815E-01 -2.331744134E-02
5.137227774E-01 9.143999815E-01 -2.331743762E-02
5.057653189E-01 9.143999815E-01 -2.168666199E-02
5.057653189E-01 9.143999815E-01 -2.168665826E-02
4.976216257E-01 9.143999815E-01 -2.003724128E-02
4.976215959E-01 9.143999815E-01 -2.003723755E-02
4.894740880E-01 9.143999815E-01 -1.840675622E-02
4.894740582E-01 9.143999815E-01 -1.840675250E-02
4.813229144E-01 9.143999815E-01 -1.679474115E-02
4.813228846E-01 9.143999815E-01 -1.679473743E-02
4.731681645E-01 9.143999815E-01 -1.520078443E-02
4.731681347E-01 9.143999815E-01 -1.520078070E-02
4.650099277E-01 9.143999815E-01 -1.362455916E-02
4.650098979E-01 9.143999815E-01 -1.362455543E-02
4.568483531E-01 9.143999815E-01 -1.206576731E-02
4.568483233E-01 9.143999815E-01 -1.206576359E-02
4.486835301E-01 9.143999815E-01 -1.052413229E-02
4.486835003E-01 9.143999815E-01 -1.052412856E-02
4.405155480E-01 9.143999815E-01 -8.999429643E-03
4.405155182E-01 9.143999815E-01 -8.999425918E-03
4.323444068E-01 9.143999815E-01 -7.491513155E-03
4.323443770E-01 9.143999815E-01 -7.491509430E-03
4.241702259E-01 9.143999815E-01 -6.000301801E-03
4.241701961E-01 9.143999815E-01 -6.000298075E-03
4.159930646E-01 9.143999815E-01 -4.525743425E-03
4.159930348E-01 9.143999815E-01 -4.525739700E-03
4.078128636E-01 9.143999815E-01 -3.067825455E-03
4.078128338E-01 9.143999815E-01 -3.067821730E-03
3.996297121E-01 9.143999815E-01 -1.626631478E-03
3.996296823E-01 9.143999815E-01 -1.626627753E-03
3.914436400E-01 9.143999815E-01 -2.022914705E-04
3.914436102E-01 9.143999815E-01 -2.022878325E-04
3.832545877E-01 9.143999815E-01 1.205050503E-03
3.832545578E-01 9.143999815E-01 1.205054112E-03
3.750626147E-01 9.143999815E-01 2.595133148E-03
3.750625849E-01 9.143999815E-01 2.595136641E-03
3.668676615E-01 9.143999815E-01 3.967626952E-03
3.668676317E-01 9.143999815E-01 3.967630677E-03
3.586697280E-01 9.143999815E-01 5.322236102E-03
3.586696982E-01 9.143999815E-01 5.322239362E-03
3.504688144E-01 9.143999815E-01 6.658549886E-03
3.504687846E-01 9.143999815E-01 6.658553146E-03
3.422648609E-01 9.143999815E-01 7.976014167E-03
3.422648311E-01 9.143999815E-01 7.976017892E-03
3.340577781E-01 9.143999815E-01 9.274058975E-03
3.340577483E-01 9.143999815E-01 9.274062701E-03
3.258475959E-01 9.143999815E-01 1.055207383E-02
3.258475661E-01 9.143999815E-01 1.055207662E-02
3.176341653E-01 9.143999815E-01 1.180936303E-02
3.176341355E-01 9.143999815E-01 1.180936582E-02
3.094175160E-01 9.143999815E-01 1.304515544E-02
3.094174862E-01 9.143999815E-01 1.304515824E-02
3.011975288E-01 9.143999815E-01 1.425859425E-02
3.011974990E-01 9.143999815E-01 1.425859705E-02
2.929741442E-01 9.143999815E-01 1.544874068E-02
2.929741144E-01 9.143999815E-01 1.544874348E-02
2.847472429E-01 9.143999815E-01 1.661456749E-02
2.847472131E-01 9.143999815E-01 1.661457121E-02
2.765167952E-01 9.143999815E-01 1.775496453E-02
2.765167654E-01 9.143999815E-01 1.775496826E-02
